Country,VALUE
Afghanistan,88.14488
Albania,73.88351
United Arab Emirates,81.94751
Argentina,84.80157
Armenia,77.71713
Antigua and Barbuda,79.23272
Australia,89.01952
Austria,77.75498
Belgium,83.48768
Benin,75.94837
Bangladesh,66.12034
Bulgaria,73.32753
Bahrain,80.99883
"Bahamas, The",84.37074
Belize,80.27053
Bolivia,85.46632
Brazil,83.58822
Barbados,81.7596
Brunei Darussalam,87.10349
Bhutan,84.07348
Botswana,87.47863
Canada,76.26444
Switzerland,85.70841
Chile,87.60159
China,84.27059
Colombia,83.94528
Costa Rica,82.01047
Czechia,77.4143
Germany,83.69238
Djibouti,85.23729
Dominica,84.06968
Denmark,84.50749
Algeria,83.7617
Ecuador,86.52661
"Egypt, Arab Rep.",87.47796
Spain,76.60892
Estonia,84.06998
Finland,75.43613
Fiji,83.28313
France,86.99859
United Kingdom,79.9084
Ghana,87.45887
Greece,84.45991
Grenada,84.29651
Guatemala,86.91399
Guyana,84.00067
Honduras,83.82664
Croatia,76.82002
Hungary,79.45999
Indonesia,86.37748
India,73.9259
Ireland,71.79074
Iraq,85.0112
Iceland,80.2773
Israel,84.66812
Italy,88.62353
Jordan,84.78075
Kenya,86.84573
Cambodia,91.58266
Kiribati,82.47191
St. Kitts and Nevis,82.27957
"Korea, Rep.",94.17773
Kuwait,84.34299
Lao PDR,84.43034
Lebanon,82.05841
Libya,83.16254
St. Lucia,84.34292
Sri Lanka,85.15502
Lithuania,80.14737
Luxembourg,79.23902
Latvia,80.09672
Morocco,87.25737
Moldova,75.65137
Maldives,81.88546
Mexico,83.16715
North Macedonia,78.41212
Malta,81.42815
Myanmar,86.81442
Mongolia,78.74518
Mozambique,87.11758
Mauritania,87.24601
Mauritius,82.19725
Malaysia,86.17286
Namibia,87.41653
Netherlands,80.17081
Norway,83.52475
Nepal,83.46014
Nauru,86.79247
New Zealand,88.74181
Oman,83.77605
Pakistan,86.94997
Peru,84.72465
Philippines,93.40804
Palau,79.01804
Poland,78.8318
Portugal,84.28124
Paraguay,83.48174
Qatar,88.19767
Romania,79.53992
Russian Federation,84.534
Sudan,90.30155
Senegal,88.46811
Singapore,76.27077
Solomon Islands,83.71016
El Salvador,86.10809
Suriname,81.4325
Slovak Republic,71.53237
Slovenia,79.99409
Sweden,84.66885
Seychelles,82.64164
Syrian Arab Republic,87.51762
Thailand,77.47192
Timor-Leste,89.36814
Tonga,85.82115
Trinidad and Tobago,82.14506
Tunisia,81.49166
Turkiye,81.27968
Tuvalu,87.13863
Tanzania,82.11333
Uganda,85.67472
Ukraine,76.65703
Uruguay,82.19126
United States,72.04798
St. Vincent and the Grenadines,85.82677
"Venezuela, RB",88.75968
Viet Nam,86.31763
Vanuatu,87.53436
Samoa,87.07764
"Yemen, Rep.",86.37056
Zambia,89.26982
Zimbabwe,86.63512
